Pop1.AVG	Pop2.AVG	Pop3.AVG	test.p	test.pBH	test.pbonferroni
Prevotella	0.221137484060455	0.265822453763069	0.276943947418336	0.461876581025101	0.935446240050837	1
Bacteroides	0.181646253030151	0.137795410249684	0.196453041980256	0.255747511367205	0.909324484861174	1
Faecalibacterium	0.0700831591239308	0.067898501628511	0.0573665600239693	0.55857000489971	0.955730781918952	1
Dialister	0.0148747490681646	0.0200410231454301	0.0222397842702353	0.994880713745372	0.997757604828386	1
Megasphaera	0.00713683316715768	0.0143106530153858	0.0149249044352213	0.134158265501296	0.795011943711382	1
Ruminococcus	0.0166458256508440	0.0105016345842083	0.0118035010802677	0.0711148893975702	0.648122555907295	1
Succinivibrio	0.00933896946340057	0.0153834680256855	0.0111132580708801	0.196676675710749	0.85049373280324	1
Blautia	0.0109924263491856	0.0129396463854078	0.00869066879644142	0.149230559253604	0.819478720964215	1
Coprococcus	0.0100819968281890	0.0126675858244727	0.00905701452836279	0.235375676605843	0.909324484861174	1
Dorea	0.0318801452623463	0.00206695577670448	0.00201969896322244	1.10711729047659e-16	1.77138766476254e-14	1.77138766476254e-14
Lachnospira	0.00923411220348667	0.00950254843319864	0.00864152160990036	0.885307098415723	0.983035853080459	1
Roseburia	0.0110450572935611	0.00647696758376177	0.00683712665826817	0.0244547513314910	0.397349247964636	1
Parabacteroides	0.0104132903917944	0.00758097803568164	0.00556549968968972	0.134000869653928	0.795011943711382	1
Phascolarctobacterium	0.0068708595301606	0.00704709751246292	0.00685795235824845	0.591071060745333	0.955730781918952	1
Sutterella	0.00523750324477457	0.00545463964347503	0.00784111681058776	0.418982302433028	0.931594490591579	1
Oscillospira	0.00681318742784818	0.00593881756184549	0.006037495648346	0.165745792909446	0.819478720964215	1
Catenibacterium	0.0049288024268862	0.00776947550745852	0.00580622318614878	0.512424836780432	0.94504628780442	1
Megamonas	0.000653505890990751	0.000413970864219651	0.00585708848053602	0.903164190017672	0.983035853080459	1
Lactobacillus	0.00519097388497837	0.00193176680171203	0.00196654196555915	0.638170622563698	0.955730781918952	1
Anaerostipes	0.00215573590541706	0.00205964154182997	0.00299080560908434	0.289405714043428	0.931594490591579	1
Collinsella	0.00151934184851890	0.00175314379532811	0.0014240243213982	0.0232065029212469	0.397349247964636	1
Streptococcus	0.000993391380767044	0.00296318435692946	0.000856075751532006	0.171342320811243	0.819478720964215	1
Haemophilus	0.00113342992860117	0.00152091987559472	0.00143433303111537	0.78857800412445	0.955730781918952	1
Mitsuokella	0.00150493389933742	0.00115152018442374	0.00055817063605789	0.986038576030455	0.997757604828386	1
Halomonas	0.000418470768242294	0.00091077169071323	0.000619455497044096	0.493465356061026	0.94504628780442	1
Veillonella	0.000529877453412048	0.000422295097110861	0.000763659254903104	0.252507184697283	0.909324484861174	1
Fusobacterium	0.000199473585744076	0.000259995220289397	0.000593860396653427	0.330770459096301	0.931594490591579	1
SMB53	0.000382588155869158	0.000393657388725076	0.000416628555777592	0.0513560445895051	0.617034393500394	1
Comamonas	0.000830156409471997	0.000289921593673752	0.000195301103091319	0.734807446720147	0.955730781918952	1
Acidaminococcus	2.93160221613176e-05	0.000192080350858879	0.000538927064606535	0.76988328493738	0.955730781918952	1
Turicibacter	0.000328636709996614	0.00026750741342132	0.000287028568823464	0.638342863695848	0.955730781918952	1
Anaerovibrio	0.000125199450645855	6.73781145595224e-05	0.000464975894038679	0.627153394985665	0.955730781918952	1
